owner_experience,vet_access,owner_commitment,care_capability_score
Advanced,Excellent,High,91.5224000025929
Expert,Excellent,Low,94.16027641822578
Intermediate,Unknown,Moderate,77.01055442402826
Novice,Good,High,51.506154653497106
Advanced,Limited,Very High,63.50032309422843
Intermediate,Good,Low,80.85471871191689
Intermediate,Limited,Moderate,62.932724870585886
Advanced,Excellent,Moderate,90.93571869600748
Expert,Good,Moderate,95.32343425837108
Intermediate,Good,High,85.86452025166614
Intermediate,Good,High,69.96615559963416
Novice,Excellent,Low,59.10023358086276
Novice,REGULAR,Moderate,68.40602041602014
Novice,Regular,High,58.03540250650101
Advanced,Good,Moderate,80.37815724301637
Advanced,Limited,Very High,75.34607608164676
Novice,Good,High,74.83419702126959
Novice,Good,Moderate,63.85746608015027
Intermediate,Good,Moderate,75.02305240113618
Intermediate,Regular,High,65.66304117322
Advanced,Regular,Moderate,61.42372987678426
Intermediate,Good,Low,55.51617447555792
Advanced,Regular,High,90.65101917969359
Advanced,Excellent,Unknown,100.0
Intermediate,Excellent,Low,70.72998524483661
Novice,Excellent,Moderate,51.66403150866295
Advanced,Unknown,Moderate,82.93888283420432
Intermediate,Regular,Moderate,62.35046559638685
Novice,Regular,High,49.69914476416345
Intermediate,Good,Moderate,82.84808936674166
Novice,Regular,Very High,75.59870437487604
Novice,Limited,Low,38.00539048057984
Intermediate,Regular,Moderate,70.78720760930125
Advanced,Regular,Moderate,68.43944840039055
Novice,Excellent,High,76.67908012018161
Advanced,Good,Moderate,78.18518618520861
Novice,Regular,Low,62.541236950717774
Expert,Excellent,Very High,99.51449043548747
Intermediate,Good,Moderate,65.62401709578486
Expert,Regular,Moderate,81.72780997416149
Advanced,Regular,Very High,71.74967064214205
Novice,Good,Low,49.17769042028687
Advanced,Excellent,Low,81.2502242873312
Intermediate,Regular,High,59.03905093851821
Novice,Good,Very High,71.57360743386126
Intermediate,Excellent,High,65.53747474573505
Expert,Regular,High,86.69868888543708
Novice,Good,Moderate,67.28852447764845
Intermediate,Limited,Very High,67.14526163559526
Intermediate,Excellent,Moderate,65.55714092595765
Unknown,Excellent,Moderate,75.36945907752668
Intermediate,Regular,Very High,75.02607160876082
Intermediate,Regular,High,66.44391338048057
Expert,Good,Moderate,89.51935834083395
Unknown,Regular,Moderate,61.83275715849431
Expert,Limited,Very High,94.9207654178218
Advanced,Regular,High,67.19657609493103
Novice,Good,Very High,59.02874766638738
Novice,Good,Moderate,65.58082897603616
Intermediate,Limited,Moderate,47.92940018636414
Novice,Good,Moderate,57.01491099907182
Expert,Good,High,100.0
Novice,Good,Moderate,67.75436946743852
Novice,Good,High,63.09717920500493
Advanced,Good,Low,66.87249044771892
Intermediate,Regular,Low,48.557672792116556
Unknown,Regular,Moderate,86.05999486486724
Novice,Good,Very High,72.8018253556061
Intermediate,Regular,Moderate,72.37151349188562
Novice,Excellent,High,76.79631987267979
Novice,Regular,Moderate,52.413398517505485
Intermediate,Good,Moderate,86.33345323727214
Novice,Good,Low,44.753524448286036
Novice,Regular,Moderate,55.97826702855012
Advanced,Unknown,High,68.05658643380914
Novice,Good,Moderate,50.79137588383972
Advanced,Excellent,Moderate,69.54220721317708
Intermediate,Good,Low,74.85431323948859
Intermediate,Excellent,High,77.80061285405012
Expert,Good,High,94.24596798867387
Intermediate,Good,Moderate,55.58783569035202
Novice,Regular,High,51.0874487624275
Novice,Excellent,Moderate,70.54125340909698
Intermediate,Excellent,High,84.74809444594489
Novice,Good,High,63.236916956205874
Intermediate,Good,High,83.62835830049191
Advanced,Regular,Moderate,87.88599694441183
Novice,Good,High,57.85737793031576
Unknown,Regular,Moderate,59.921552518117196
Advanced,Regular,Low,48.5082098107565
Intermediate,Excellent,High,83.47825045677394
Intermediate,Good,Low,63.320962328663256
Novice,Good,Moderate,43.02323342305399
Novice,Good,Moderate,42.299375481982466
Novice,Excellent,Very High,60.78653858712069
Intermediate,Excellent,High,74.18430020068993
Novice,Regular,High,59.66205533182752
Novice,Regular,High,62.49974745462501
Novice,Excellent,Very High,75.09727115183419
Intermediate,Good,Moderate,63.46993776451333
Intermediate,REGULAR,Very High,79.67648909649701
Advanced,Limited,Low,59.22753623563523
Expert,Good,High,96.49181012861442
Advanced,Excellent,Moderate,83.1346832539717
Novice,Regular,High,61.67601891594346
Novice,Regular,Very High,69.2334179936174
Advanced,Excellent,High,89.69877327201769
Intermediate,Good,High,69.37965863582468
Intermediate,Excellent,Moderate,64.02996528518699
Intermediate,Excellent,High,73.5105620020659
Intermediate,Good,Moderate,69.51689603483226
Advanced,Unknown,High,82.51143826668041
Novice,Good,Moderate,56.40444012855152
Novice,Good,Low,55.983345654036434
Expert,Limited,Very High,87.1873757409059
Expert,Regular,Very High,99.91816912773089
Intermediate,Excellent,Moderate,79.30511067175333
Intermediate,Regular,Moderate,48.09356350852645
Intermediate,Excellent,High,83.40859354535492
Expert,Good,High,93.34485581264687
Intermediate,Limited,High,54.1062803293554
Intermediate,Excellent,Very High,96.70571459821568
Expert,Good,Moderate,80.68829432926631
Advanced,Regular,Very High,88.72119571874346
Novice,Regular,Moderate,58.90573282582655
Intermediate,Excellent,Low,72.41419613371258
Intermediate,Good,Very High,85.72738002382084
Intermediate,Good,Low,63.27224447601921
Expert,Good,High,89.14370325617053
Novice,Regular,High,62.78718337399324
Expert,Regular,Moderate,84.23948381224963
Intermediate,Excellent,Low,61.03675404315796
Advanced,Excellent,Very High,97.28976038181288
Advanced,Regular,Moderate,60.716942857126405
Intermediate,Good,Very High,85.71978274840664
Novice,Good,Moderate,53.558362685525346
Expert,Good,High,99.25402832917004
Novice,Regular,Low,50.658380714750635
Novice,Excellent,Very High,82.3997121879903
Intermediate,Regular,Moderate,63.22643559160181
Intermediate,Limited,Low,37.95294112887609
Novice,Good,High,62.863602512951864
Intermediate,Good,High,76.49896673919157
Novice,Good,Moderate,59.53068918590544
Expert,Excellent,Moderate,92.63710592923475
Novice,Excellent,Low,58.18551969026551
Novice,Good,High,63.72139175714652
Advanced,Regular,Low,68.89602320757852
Novice,Good,High,73.57679616517858
Advanced,Good,High,67.58735321517094
Advanced,Good,Low,70.04919831664192
Novice,Excellent,Moderate,66.7919274219744
Novice,Excellent,Moderate,69.90407502314969
Intermediate,Excellent,Very High,82.1364520336202
Advanced,Excellent,Moderate,80.05712313003622
Intermediate,Good,Moderate,60.506623989666814
Intermediate,Unknown,Moderate,63.23641200513702
Intermediate,Good,Very High,87.43331639430684
Novice,Good,High,68.08988372096186
Intermediate,Good,High,76.26217695238773
Expert,Excellent,Low,85.19115390475834
Novice,Regular,Moderate,49.91093298357884
Advanced,Good,Moderate,71.44657689816327
Intermediate,Limited,Low,56.22215243612511
Novice,Excellent,Moderate,69.94576280782512
Intermediate,Good,Very High,72.70429199982335
Intermediate,Excellent,Very High,72.7359615909852
Novice,Excellent,High,71.05000691567662
Novice,Good,Moderate,47.717246997366374
Intermediate,Limited,Low,41.28837818366728
Intermediate,Good,Very High,80.37973799929422
Advanced,Good,Low,69.80420984300675
Expert,Good,High,95.372310209188
Novice,Good,High,62.56606581540852
INTERMEDIATE,Excellent,Moderate,70.63989309686444
Advanced,Good,High,76.97187466733085
Advanced,Good,High,91.65267908137979
Novice,excellent,Very High,88.08100713369676
Intermediate,Good,High,74.04332393936683
Advanced,good,High,83.37531179679955
Novice,Excellent,Moderate,57.36478863196467
Intermediate,Excellent,Moderate,65.6307688748097
Advanced,Limited,Low,61.982170827996086
Intermediate,Regular,High,69.02152381545115
Novice,Regular,High,63.70195714635197
Intermediate,Good,Low,64.45539779893672
Advanced,Good,Very High,82.5335058031557
Intermediate,Good,Moderate,68.5651373192364
Intermediate,Good,Low,48.61829731815347
Novice,Limited,Low,23.13036613768622
NOVICE,Regular,Very High,53.14129862919461
Novice,Regular,Moderate,44.08529440984887
Novice,good,Moderate,65.32170151879454
Novice,Limited,Moderate,53.60345905249774
Advanced,Regular,High,64.94013358057208
Novice,Good,Very High,74.30861135985235
Intermediate,Regular,Very High,73.95725943999172
Advanced,Regular,Moderate,68.98568188094647
Intermediate,Excellent,Moderate,89.73481770755916
Intermediate,Excellent,Moderate,79.03935089129334
Expert,Good,Moderate,92.03067658568258
Intermediate,Regular,High,73.58003136561443
Novice,Good,High,74.89504689133366
Intermediate,Limited,Very High,65.91468089033675
Intermediate,Good,Moderate,63.76614491700161
Intermediate,Regular,Very High,71.58372246811409
Intermediate,Regular,Moderate,68.22767131834367
Intermediate,Good,Very High,84.24812376946899
Novice,Good,Low,47.01449673170403
Novice,Regular,Moderate,56.40247501199258
Novice,Excellent,Moderate,65.59679878152315
Advanced,Good,Moderate,69.39570182098828
Intermediate,Good,Moderate,65.03751323337075
Intermediate,Regular,Very High,70.96226974855352
Intermediate,Good,High,91.19639234845535
Intermediate,Regular,Low,54.62038473975212
Intermediate,Excellent,Low,72.70700477773714
Advanced,Regular,Unknown,83.47522962401278
Expert,Good,Moderate,98.72845805508679
Advanced,Regular,Very High,79.41423392172321
Intermediate,Good,Moderate,70.50988241990962
Intermediate,Excellent,Moderate,66.37642558420116
Intermediate,Good,Low,45.48095358712843
Novice,Excellent,Very High,69.76228144418738
Novice,Regular,Very High,75.42350265852218
Novice,Regular,Very High,64.25216659888622
Novice,Excellent,Very High,78.41965762475158
Intermediate,Regular,Low,71.8660798496842
Intermediate,Excellent,High,85.07836384194522
Novice,Unknown,High,64.29461809142086
Advanced,Regular,Moderate,76.20358285761166
Intermediate,Excellent,Moderate,67.40676157623237
Advanced,Limited,Moderate,64.78554232810184
Advanced,Good,Moderate,63.40627539362119
Intermediate,Excellent,Very High,84.964464423149
Novice,Excellent,Low,46.62676928020073
Intermediate,Excellent,Very High,79.72614109768723
Novice,Excellent,Moderate,68.33604997578973
Novice,Good,Low,47.380258467287305
Advanced,Excellent,High,100.0
Novice,Regular,Moderate,51.409696381585775
Advanced,Good,Very High,83.0336628489136
Novice,Good,Low,37.22496086399194
Intermediate,Excellent,High,85.32975971277814
Intermediate,Good,Moderate,60.27659231948571
Intermediate,Excellent,Unknown,71.74872242868341
Novice,Regular,High,53.51487859909679
Intermediate,Good,High,79.84504826532117
Novice,Good,Moderate,53.48683066226597
Novice,Regular,Moderate,53.04727096121065
Novice,Good,Very High,57.9728071215412
Intermediate,Regular,High,67.0926047812767
Novice,Good,Low,50.92012268396953
Intermediate,GOOD,Very High,83.04410444340473
Novice,Unknown,Moderate,46.20989590323536
Intermediate,Regular,High,80.85456287289966
Intermediate,Good,Moderate,79.82465723617418
Intermediate,Good,Very High,83.14874839398476
Novice,Excellent,Moderate,55.49854952401277
Intermediate,Good,High,69.54928169690147
Novice,Excellent,High,65.6063251068702
Novice,Good,Moderate,64.43277154861381
Novice,Excellent,Very High,74.20861351532926
Novice,Limited,Low,41.6126768510634
Intermediate,Regular,VERY HIGH,67.57997684063932
Expert,Excellent,High,100.0
Novice,Limited,Moderate,40.23495125870615
Novice,Good,Low,53.47601317934045
Advanced,Regular,High,78.76726487562837
Intermediate,Excellent,High,67.03979655289253
Intermediate,Good,Low,59.17178765338556
Advanced,Good,Moderate,79.4361510182202
Novice,Good,High,67.65978653541575
Intermediate,Good,High,87.80398914137409
Advanced,Good,High,87.8110551082962
Expert,Regular,Low,78.48238867706158
Intermediate,Limited,High,52.3106978199068
Expert,Regular,Low,75.25534558156563
Novice,Excellent,Moderate,51.78221907112052
Intermediate,Limited,Moderate,50.09002670777679
Intermediate,Regular,Moderate,65.21384305225234
Expert,Good,High,88.37283240242337
Advanced,Good,Moderate,72.91841692117292
Advanced,Regular,Very High,84.25729799834727
Intermediate,Good,Moderate,67.25381887005913
Intermediate,Excellent,Very High,98.42731393844042
Intermediate,Excellent,High,84.23838264281751
Novice,Limited,High,49.610262270017564
Intermediate,Good,Very High,78.0151949124538
Intermediate,Regular,High,82.72670791567211
Expert,Excellent,High,100.0
Intermediate,Limited,High,68.04395836948817
Novice,Regular,Very High,64.89977620887983
Intermediate,Good,Very High,78.02896406474879
Intermediate,Regular,Very High,71.13520265251466
Intermediate,Excellent,Moderate,72.0740392718832
Advanced,Regular,Moderate,76.25534905901988
Intermediate,Good,Very High,92.7543606523569
Novice,Good,Moderate,71.80876807307479
Intermediate,Excellent,Moderate,67.78901372854186
Advanced,Regular,High,86.15241174587878
Advanced,Regular,Low,68.03481499618205
Novice,Regular,Low,38.91208137659932
Intermediate,Regular,Very High,67.44644916804727
Intermediate,Regular,Very High,77.13430464179001
Novice,Good,High,72.60610291764
Advanced,Regular,Very High,70.96241508602215
Intermediate,Regular,High,68.53077127370862
Intermediate,Regular,Moderate,51.33226202955083
Novice,Good,Low,68.87970077179125
Intermediate,Good,High,77.76285893071756
Advanced,Good,Moderate,79.51435903083565
Novice,Good,Moderate,74.00671843924295
Intermediate,Limited,Very High,62.177812686940484
Intermediate,Good,Moderate,79.89219986553296
Advanced,Regular,Moderate,64.072629566529
Advanced,Excellent,Moderate,98.42059973196147
Intermediate,Excellent,Moderate,87.97540742189074
Advanced,Regular,Moderate,67.17470725501396
Novice,Regular,Moderate,52.36048840305714
Advanced,EXCELLENT,Low,81.09000429540077
novice,Good,Moderate,52.436168097712795
Advanced,Good,Moderate,69.69415604962711
Novice,Excellent,Moderate,70.16886334776633
Intermediate,Excellent,High,73.43364942883932
Expert,Regular,Moderate,76.91049739703746
Intermediate,Limited,Low,43.99844184662443
Novice,Good,Moderate,62.92726307506078
Advanced,Good,Moderate,92.58874025934514
Advanced,Good,Moderate,79.26938913164503
Advanced,Limited,Very High,80.16230711997561
Intermediate,Regular,Low,48.326338862319936
Intermediate,Good,High,75.3204872466298
Expert,Limited,Moderate,65.94260835389719
Advanced,Regular,High,75.5655709523781
Intermediate,Good,High,77.88434021785554
Novice,Excellent,Unknown,40.84226914376572
Advanced,Good,Moderate,80.55751296169916
Intermediate,Excellent,High,70.1327648866285
Intermediate,Excellent,Moderate,68.70865785672817
Novice,Excellent,Very High,73.52310175146869
INTERMEDIATE,Good,High,92.0731613359269
Novice,Regular,Moderate,59.57713119409306
Advanced,Regular,Low,53.94196731835288
Novice,Regular,moderate,40.894024509179985
Intermediate,Good,High,82.71672723563046
Intermediate,Good,Very High,74.77355409416046
Intermediate,Good,High,68.7880237719368
Intermediate,Regular,Moderate,64.81069537006046
Novice,Good,High,64.17220904584255
Intermediate,Regular,Moderate,71.66986706837447
Advanced,Excellent,Moderate,81.6113818718018
Novice,Good,High,61.113395579826566
Advanced,Regular,Very High,82.49773571580249
Novice,Regular,High,61.88830256699838
Intermediate,Good,Moderate,84.09372338910927
Novice,Regular,Moderate,55.23440083106443
Novice,Excellent,Moderate,67.79052593312989
Novice,Good,High,65.34223437683028
Intermediate,Good,High,65.72101562487967
Intermediate,Limited,High,62.97988306474166
Intermediate,Good,High,53.38690003281285
Advanced,Good,High,88.38216141128285
Advanced,Unknown,High,100.0
Intermediate,Excellent,VERY HIGH,98.87699660272425
Novice,Excellent,Moderate,66.97709535306521
Advanced,Good,Moderate,67.91557047969678
Advanced,Limited,High,89.81944998403829
Novice,Limited,Very High,56.01539662727258
Advanced,Excellent,Moderate,75.76347227896437
Novice,Excellent,Moderate,57.19444308191566
Intermediate,Regular,High,66.02388573570853
Expert,Excellent,High,100.0
Intermediate,Excellent,Very High,84.22119713386313
Expert,Regular,High,88.64040520801923
Novice,Excellent,High,52.86817678179807
Intermediate,Regular,High,85.21020575068766
Novice,Good,Low,54.93965665807658
Novice,Good,Very High,68.6468975104858
Advanced,Regular,High,80.31971091046442
Advanced,Regular,Low,67.90588542238824
Intermediate,Good,Low,63.69265840840596
Novice,Excellent,Very High,76.8249484063245
Novice,Regular,Very High,66.3234175543203
Novice,Regular,High,58.77781808633973
Intermediate,Good,High,83.00317747506641
Expert,Regular,Low,96.51480531619804
Intermediate,Regular,Unknown,77.01335730303667
Novice,Regular,Low,47.27637563838793
Expert,Regular,Moderate,71.69378411181631
Novice,Excellent,Moderate,66.82395024093572
Advanced,Regular,High,85.45094608733972
Novice,Regular,High,77.26707014183565
Intermediate,Good,High,77.32259264023368
Intermediate,Excellent,High,76.74667071579945
Intermediate,Excellent,High,100.0
ADVANCED,Regular,Moderate,72.39357580893528
Unknown,Regular,High,68.6746521297108
Advanced,Limited,Moderate,50.76628398962016
Intermediate,Good,High,82.00963831025605
Intermediate,Good,Very High,88.71629868629235
Intermediate,Good,Very High,77.4206378122354
Intermediate,Regular,Very High,83.0529636304754
Intermediate,Regular,High,79.78006975428269
Intermediate,Good,Low,50.508398051466614
Intermediate,Regular,Moderate,78.72418783199151
Novice,Good,Moderate,66.16198897627795
Advanced,Good,Very High,95.43339120168397
Intermediate,Limited,High,74.56737625685587
Novice,Regular,Moderate,55.475976604476315
Novice,Regular,Moderate,48.43435311122604
Intermediate,Good,Very High,64.95507153603965
Advanced,Excellent,High,94.43477037736872
Advanced,Regular,Moderate,70.42454579676463
Intermediate,Regular,Moderate,58.66473210143118
Intermediate,Regular,Moderate,68.01705191023362
Intermediate,Excellent,Moderate,67.75159805856613
Intermediate,Limited,Very High,71.6986237585899
Intermediate,Regular,High,62.027146409330754
Intermediate,Regular,High,68.85492901332783
Intermediate,Good,Moderate,63.533152979494275
Novice,Excellent,High,64.39224234892149
Intermediate,Good,Very High,84.13556926817799
Advanced,Regular,High,78.41612085455006
Intermediate,Regular,Low,53.386443039221774
Intermediate,good,High,75.35456659148849
Intermediate,Regular,Moderate,63.055397771603154
Intermediate,Regular,Very High,74.85502050125268
Intermediate,Regular,Moderate,68.3246314961292
Intermediate,Regular,High,58.048955645652015
Intermediate,GOOD,Low,59.883775650561965
Novice,Limited,Moderate,43.46670576701893
Intermediate,Good,High,84.8539482207019
Intermediate,Limited,High,62.337825602047644
Advanced,Excellent,Very High,100.0
Intermediate,Excellent,High,73.73666007261752
Novice,Excellent,Low,47.65534559957685
Intermediate,Excellent,Low,67.5327086280309
Advanced,Regular,Low,66.26310951683027
Advanced,Good,Moderate,67.5366413636986
Intermediate,Good,Moderate,69.91789465511746
Intermediate,Excellent,Moderate,77.63792238924867
Novice,Good,High,79.3793650541344
Novice,Good,Moderate,68.46260578706911
Intermediate,Regular,Moderate,60.33292994666825
Intermediate,Good,Low,78.14528913576328
Novice,Good,High,71.57483896068406
Intermediate,Regular,Moderate,69.99906023342298
Advanced,Good,High,88.54799248886358
Intermediate,Excellent,Low,51.78857276824107
Intermediate,Good,Moderate,55.02625441938794
Advanced,Regular,High,76.57759967654498
Novice,Regular,Very High,68.79167452225178
ADVANCED,Good,Very High,79.14028896659435
Intermediate,Regular,Very High,75.06296234286216
Novice,Good,Moderate,61.29044696005616
Advanced,Good,High,73.52937008686484
Advanced,Excellent,Moderate,78.40624499881476
Novice,Regular,High,66.01960508296736
Intermediate,Good,High,65.33404574600002
Expert,Good,Moderate,85.50303797171715
Intermediate,Excellent,High,89.17577817153487
Advanced,Regular,Low,55.76489611698525
Novice,Regular,Low,35.33598241754348
Intermediate,Good,High,68.89493915743222
Novice,Limited,Very High,53.23095343483432
Intermediate,Excellent,Very High,95.06529019064196
Novice,Regular,Low,25.5953195602837
Intermediate,Regular,Low,51.84798885010996
Advanced,Regular,High,74.43338365479592
Intermediate,Regular,Very High,69.62515843588366
Intermediate,Excellent,Moderate,77.15200433160008
Intermediate,Regular,Low,62.40462109426505
Expert,Good,High,83.14299531689679
Intermediate,Good,Low,60.0500318583889
Intermediate,Excellent,Moderate,81.0373092102338
Advanced,Excellent,Moderate,71.11533797468762
Novice,Good,High,57.164300965687744
Novice,Excellent,Moderate,72.9498696212639
Intermediate,Regular,High,70.25577016886307
Novice,Good,Moderate,60.192716907694034
Novice,Excellent,Very High,95.23982527713429
Intermediate,Regular,Low,64.2992753063459
Novice,Excellent,High,79.76202908876085
Unknown,Limited,Moderate,71.18548211563632
Intermediate,Good,Moderate,74.02284173044657
Intermediate,Limited,High,55.528535668386155
Novice,Regular,High,45.81384342349639
Expert,Regular,Moderate,79.81758587067637
Intermediate,Excellent,Moderate,76.51534665056738
Novice,Good,Very High,72.16420648644512
Novice,Good,High,68.5607304582384
Novice,Good,Low,56.62083200760142
Intermediate,Regular,Moderate,56.49758837277429
Novice,Limited,High,43.19777312780568
Advanced,Good,Moderate,75.51491063580205
Expert,Excellent,High,100.0
Advanced,Good,High,76.78671319242525
Novice,Regular,Moderate,49.68903742730446
Advanced,Good,High,81.03672874021169
Novice,Regular,High,58.10814254720172
