owner_experience,vet_access,owner_commitment,care_capability_score
Intermediate,Moderate,Moderate,38.53717157254659
Intermediate,Good,Moderate,36.01350445690372
Intermediate,Limited,Low,6.62515996370777
Beginner,Moderate,Low,24.074432526342914
Advanced,Good,Very High,81.33192120979233
Intermediate,Good,High,34.20544079828738
Advanced,Excellent,Very High,95.56929725434074
Intermediate,Good,High,54.21764322913562
Advanced,Good,Very High,86.87075826027781
Expert,Good,Very High,69.1180660600391
Beginner,Limited,Low,3.022445255005988
Expert,Good,Very High,68.03546804026631
Advanced,Excellent,Very High,84.17983804687938
Advanced,Moderate,Moderate,41.04612077754901
Expert,Good,Very High,75.139792956647
Expert,Good,High,89.57483108147063
Advanced,Good,High,55.26724440985808
Intermediate,Moderate,High,50.68593737494919
Intermediate,Limited,Low,28.478443329363696
Beginner,Limited,Moderate,28.782945408052033
Intermediate,Good,Moderate,37.37470223583167
Advanced,Good,Moderate,52.29851083429006
Advanced,Good,Very High,82.87989191489264
Advanced,Excellent,Very High,78.9780518091006
Beginner,Limited,Moderate,13.805152239518193
Beginner,Limited,Moderate,23.21947290694475
Intermediate,Good,High,61.36677361230632
Beginner,Limited,Low,22.947807613468974
Advanced,Good,Moderate,41.1702077504637
Expert,Excellent,Very High,87.90720134344615
Expert,Good,High,95.19076513562082
Intermediate,Moderate,Moderate,42.42068754948549
Intermediate,Limited,Low,24.462022540023334
Expert,Excellent,Very High,72.3707809213226
Intermediate,Moderate,Low,25.415567811519654
Intermediate,Moderate,Low,4.007462650520118
Expert,Excellent,Very High,80.79102263302998
Expert,Excellent,Very High,93.0417671450696
Expert,Good,High,89.64469438179292
Expert,Excellent,High,86.6378772719412
Intermediate,Limited,Low,31.019738892205677
Expert,Excellent,High,93.7518658796774
Intermediate,Moderate,Moderate,47.17229305280307
Expert,Excellent,Very High,70.29428011136662
Expert,Good,High,94.04243689676574
Intermediate,Moderate,Moderate,65.3220034076777
Expert,Excellent,High,98.77667188482036
Advanced,Excellent,Very High,76.7484778034452
Beginner,Moderate,Moderate,17.4009278835206
Expert,Excellent,Very High,97.38198004934827
Expert,Good,Very High,85.44881135845233
Expert,Good,Very High,84.20306766095345
Intermediate,Good,Moderate,59.594708510244075
Intermediate,Moderate,Low,23.302324809821815
Advanced,Excellent,Very High,94.728110138751
Advanced,Good,High,51.62650986820594
Beginner,Moderate,Moderate,26.602453350778987
Beginner,Limited,Low,0.5308871753017698
Beginner,Moderate,Low,19.838749828618493
Advanced,Good,High,79.0990747440716
Beginner,Moderate,Low,9.818322081157161
Advanced,Good,High,40.763245408073566
Advanced,Good,High,55.19871201391774
Intermediate,Moderate,High,54.454379791331746
Expert,Excellent,High,82.80485944746982
Expert,Excellent,High,75.41122662593634
Intermediate,Moderate,Moderate,57.1525415402693
Expert,Excellent,Very High,73.92253292819343
Advanced,Moderate,High,61.30645243077083
Advanced,Good,High,67.37600812495948
Expert,Good,High,70.83573294576993
Intermediate,Good,Moderate,38.292865277666934
Advanced,Good,Moderate,41.317987349827014
Intermediate,Limited,Moderate,20.46850550778611
Advanced,Excellent,Very High,84.89894179238618
Advanced,Excellent,Very High,89.93644031881499
Intermediate,Limited,Moderate,16.902519575194656
Intermediate,Good,Moderate,55.57455083062193
Advanced,Good,High,67.39955686892331
Expert,Good,High,97.00963914145308
Intermediate,Good,High,38.30389547357842
Expert,Good,Very High,90.58070135829051
Beginner,Moderate,Low,7.82416359769968
Advanced,Moderate,Moderate,58.733816648092386
Advanced,Good,Very High,70.44139649377868
Beginner,Moderate,Moderate,9.5493373443383
Expert,Good,Very High,71.88229342909122
Expert,Excellent,High,74.47491140716949
Beginner,Moderate,Moderate,26.98492790658404
Beginner,Limited,Moderate,8.339995401804513
Expert,Good,High,88.11744953408625
Intermediate,Good,Moderate,36.2610098321019
Intermediate,Good,High,46.03527515425667
Intermediate,Moderate,Low,10.476923054200705
Intermediate,Limited,Low,22.02375661440222
Expert,Excellent,High,76.31541466221854
Advanced,Moderate,Moderate,39.601849848095824
Advanced,Good,Moderate,53.724882903436615
Expert,Excellent,Very High,92.29209053697608
Intermediate,Good,Moderate,59.10563929319023
Advanced,Moderate,Moderate,55.339539650086934
Expert,Excellent,High,69.1149054272617
Advanced,Good,High,77.44007997660516
Intermediate,Moderate,Moderate,1.1958649599592541
Intermediate,Moderate,Low,3.3413741850077248
Intermediate,Moderate,Moderate,38.60099433038019
Intermediate,Moderate,High,59.29893046011688
Expert,Good,High,99.39330319130767
Intermediate,Moderate,Moderate,45.97345658397773
Advanced,Good,Very High,84.63051027460136
Advanced,Moderate,Moderate,39.95590831630385
Intermediate,Moderate,Moderate,34.11210830646439
Advanced,Good,High,84.91443710232227
Advanced,Good,High,52.60221005000622
Advanced,Good,High,77.12059129231419
Intermediate,Limited,Low,10.746248890296817
Intermediate,Moderate,Moderate,50.8348270140281
Intermediate,Good,High,45.71079184860475
Advanced,Moderate,High,65.37584033151128
Intermediate,Moderate,Moderate,37.93980315236196
Intermediate,Moderate,High,50.98133880765002
Intermediate,Moderate,High,44.525062859041476
Advanced,Good,High,43.925204763384144
Advanced,Good,Very High,67.42833510301993
Advanced,Excellent,Very High,75.37804259491004
Intermediate,Moderate,Low,14.011286772258828
Expert,Excellent,High,95.19294199445457
Expert,Excellent,Very High,78.923699632725
Intermediate,Moderate,Low,20.660550724669143
Advanced,Good,Very High,80.1772280743884
Beginner,Moderate,Low,1.699672838704641
Intermediate,Limited,Moderate,1.9739435305301296
Advanced,Excellent,High,82.17268197753845
Advanced,Good,High,47.766449780240606
Intermediate,Limited,Moderate,7.598814458459405
Intermediate,Good,High,58.97857751577797
Advanced,Excellent,High,80.59978701329774
Intermediate,Moderate,Moderate,3.9209424847077265
Expert,Good,Very High,85.31149727629999
Expert,Excellent,Very High,88.23638648242569
Intermediate,Moderate,Moderate,10.288983680755052
Advanced,Moderate,Moderate,59.42331647440244
Advanced,Good,High,44.73794504722228
Beginner,Limited,Moderate,32.817191051935666
Intermediate,Moderate,High,37.47744421247355
Intermediate,Limited,Low,9.815915376294388
Intermediate,Limited,Low,4.34819463257416
Advanced,Moderate,High,56.930416592649195
Intermediate,Good,High,53.15115029874288
Advanced,Moderate,High,51.46354349555953
Intermediate,Good,Moderate,51.21048637699451
Advanced,Moderate,Moderate,58.69913908378919
Beginner,Limited,Low,10.786869930272642
Advanced,Moderate,Moderate,56.91272312352726
Advanced,Excellent,Very High,81.79335486703137
Beginner,Limited,Low,11.054858209621868
Intermediate,Limited,Low,4.412841777832031
Intermediate,Good,High,49.89108217037584
Expert,Excellent,Very High,92.59103827882893
Intermediate,Good,Moderate,42.87103279003753
Advanced,Good,High,60.77765326206905
Advanced,Moderate,High,43.51664511612285
Intermediate,Good,High,39.38663990793149
Intermediate,Good,Moderate,53.15019068855575
Advanced,Excellent,Very High,77.51229423691625
Advanced,Good,High,57.76567146333677
Intermediate,Moderate,High,61.59685738984363
Expert,Excellent,Very High,72.37744820800071
Advanced,Good,High,44.56431343915878
Intermediate,Limited,Moderate,5.314930330687985
Advanced,Good,Very High,93.8203503336705
Expert,Excellent,High,91.19276622375621
Intermediate,Moderate,Moderate,49.54925170873494
Intermediate,Limited,Moderate,4.799354337616567
Intermediate,Good,Moderate,38.9215098213256
Advanced,Moderate,Moderate,35.961535875456235
Intermediate,Moderate,Moderate,2.464215748289391
Advanced,Good,Moderate,51.02343290430373
Advanced,Good,High,50.81784791712613
Advanced,Good,High,57.150449814977335
Intermediate,Good,High,58.525329130553104
Intermediate,Limited,Low,29.00190053297462
Intermediate,Good,High,36.79184717849643
Intermediate,Limited,Low,15.842280036894879
Advanced,Excellent,Very High,88.25543611244808
Expert,Excellent,High,82.12174192957218
Intermediate,Limited,Moderate,27.12081318996907
Intermediate,Moderate,Moderate,60.591915442026036
Advanced,Good,High,54.41314279728215
Expert,Good,High,78.95509565083749
Intermediate,Limited,Low,0.21123357116422792
Intermediate,Moderate,Moderate,50.16768179303318
Expert,Excellent,Very High,88.66535046662958
Intermediate,Moderate,Moderate,4.666670388707742
Intermediate,Good,High,65.12501088455275
Beginner,Moderate,Low,24.474372775330185
Expert,Good,High,92.60486121463974
Beginner,Moderate,Moderate,8.817571707207394
Advanced,Good,Very High,93.88941453956015
Beginner,Limited,Low,1.128182610703751
Intermediate,Good,High,48.89025151140896
Beginner,Limited,Moderate,16.0140329262165
Beginner,Limited,Moderate,32.16881085394729
Expert,Excellent,High,66.89170681243297
Beginner,Moderate,Moderate,18.80985009178649
Advanced,Good,Very High,95.22280894053962
Intermediate,Limited,Moderate,20.906263171796986
Beginner,Limited,Moderate,16.757907988520916
Beginner,Moderate,Moderate,10.056251231525422
Advanced,Excellent,Very High,94.55542308327452
Intermediate,Moderate,Low,6.475024285460391
Advanced,Excellent,Very High,76.44500462886424
Intermediate,Moderate,High,33.4057832471591
Intermediate,Moderate,Moderate,19.56533142206765
Advanced,Moderate,High,44.87130849341209
Beginner,Limited,Low,31.565862076283977
Intermediate,Moderate,Moderate,33.594914140916224
Expert,Good,High,69.71282137588004
Advanced,Good,Moderate,44.904891754805895
Advanced,Good,High,65.07806902667721
Beginner,Moderate,Low,20.753341870853315
Beginner,Limited,Low,2.41489498239519
Beginner,Limited,Low,21.61618318215828
Advanced,Moderate,High,43.59879087696168
Advanced,Moderate,High,57.87064054878329
Advanced,Excellent,Very High,98.26679920518035
Advanced,Excellent,Very High,82.463283397514
Advanced,Excellent,High,74.62841936294342
Intermediate,Good,Moderate,44.49752157837608
Intermediate,Moderate,High,36.99208516602417
Intermediate,Moderate,Low,21.570767350257796
Advanced,Excellent,Very High,99.31167091876387
Advanced,Moderate,High,42.76788704176172
Expert,Excellent,Very High,75.61152093111127
Beginner,Moderate,Moderate,23.486899295116604
Intermediate,Good,Moderate,49.131279609275836
Intermediate,Good,Moderate,51.800934861679465
Intermediate,Good,High,39.09303221117557
Advanced,Good,High,80.40742805982498
Intermediate,Moderate,Low,18.681037196542885
Advanced,Moderate,High,53.67908386450902
Advanced,Excellent,High,69.49397881555484
Expert,Excellent,Very High,78.97378816011769
Beginner,Limited,Moderate,1.3056383476338502
Intermediate,Good,High,56.968152617590846
Advanced,Good,High,45.543103617476866
Advanced,Good,High,35.86614361656856
Expert,Excellent,High,95.77027583978558
Beginner,Limited,Low,29.343899457494558
Intermediate,Limited,Low,11.320162663427352
Expert,Excellent,Very High,67.99772176681186
Expert,Excellent,High,92.97190594697915
Advanced,Moderate,Moderate,43.40985506812887
Expert,Excellent,Very High,96.34148261693235
Advanced,Good,Very High,74.72687678824448
Intermediate,Limited,Moderate,25.49209436831957
Advanced,Moderate,High,55.17994018985964
Advanced,Good,High,89.39788960782603
Intermediate,Moderate,Moderate,15.630680435482262
Intermediate,Moderate,Low,9.076081287212487
Intermediate,Good,High,44.77387525272236
Beginner,Limited,Moderate,15.76220704340458
Beginner,Moderate,Moderate,26.97269824272897
Advanced,Good,High,40.57271233521729
Expert,Excellent,Very High,70.52955387301128
Beginner,Limited,Low,29.21583603157828
Advanced,Good,Very High,69.21140451795952
Intermediate,Good,Moderate,61.25200491103815
Intermediate,Moderate,Low,1.3138758840921678
Expert,Good,High,72.35862263839117
Intermediate,Moderate,Low,24.115433491019406
Advanced,Moderate,High,52.6485261219354
Advanced,Moderate,Moderate,42.63719015932854
Intermediate,Good,High,64.55573337750309
Intermediate,Good,High,63.37219648834861
Advanced,Good,Moderate,39.28265616286168
Advanced,Good,High,35.318259213452016
Intermediate,Limited,Low,9.144040348017425
Intermediate,Limited,Low,17.710278375751642
Advanced,Good,High,47.67746763984766
Expert,Excellent,Very High,68.74774804126011
Intermediate,Limited,Moderate,3.4215959049840956
Intermediate,Good,High,33.452505682849505
Expert,Good,High,97.31052354630857
Intermediate,Moderate,Moderate,39.62365498179686
Intermediate,Good,High,57.22961871321491
Intermediate,Good,High,49.26944992019058
Expert,Good,Very High,87.0291331648174
Intermediate,Moderate,Moderate,16.55650729690898
Intermediate,Good,High,44.621018252706435
Intermediate,Moderate,Moderate,0.6528005409992848
Beginner,Moderate,Low,16.123390340257913
Intermediate,Moderate,Moderate,14.266079612693119
Intermediate,Good,High,47.80126339136288
Intermediate,Moderate,Moderate,33.867491910970436
Advanced,Good,Very High,94.96414618532134
Advanced,Excellent,High,79.21164705518888
Beginner,Moderate,Low,29.192384653426018
Intermediate,Limited,Low,17.953470335346932
Expert,Excellent,Very High,78.25593327384584
Beginner,Limited,Moderate,6.646214971981527
Advanced,Good,Very High,76.35119500831931
Intermediate,Limited,Moderate,13.668468511044292
Advanced,Moderate,Moderate,39.97607011273428
Expert,Good,High,86.74217813352472
Intermediate,Moderate,High,38.85903398404288
Intermediate,Moderate,Low,20.391813533827975
Intermediate,Moderate,Moderate,1.995387169056515
Intermediate,Good,High,35.13780874568439
Beginner,Moderate,Low,12.178998394658509
Beginner,Moderate,Moderate,29.61732569900415
Intermediate,Moderate,Moderate,20.937277562122528
Expert,Good,Very High,80.55268245708046
Expert,Excellent,Very High,94.8786172172833
Beginner,Moderate,Moderate,6.502286485412127
Advanced,Excellent,High,68.46073078507317
Intermediate,Moderate,Moderate,54.84544677686469
Beginner,Moderate,Moderate,4.282605425847742
Intermediate,Moderate,Moderate,26.735860073982494
Advanced,Good,Very High,94.27477894563974
Beginner,Limited,Low,18.75939480077887
Advanced,Good,Moderate,47.82513868473016
Advanced,Excellent,Very High,82.17514690360886
Intermediate,Limited,Moderate,10.162627920257636
Expert,Good,High,75.09706176339932
Beginner,Limited,Moderate,9.39341941385997
Advanced,Good,Moderate,61.52804792052589
Beginner,Moderate,Low,3.207475924931086
Advanced,Moderate,High,42.39706067660613
Intermediate,Good,High,64.90756586496829
Intermediate,Limited,Moderate,19.79318615713885
Advanced,Good,High,46.59912755250278
Beginner,Moderate,Moderate,18.37228708077113
Beginner,Limited,Moderate,6.393506122392301
Beginner,Moderate,Low,22.159761813451603
Advanced,Excellent,High,67.81960510104874
Intermediate,Good,Moderate,54.621596402645686
Advanced,Good,High,82.13286477880703
Beginner,Moderate,Low,19.17819855816493
Beginner,Moderate,Low,26.656924584284177
Intermediate,Moderate,High,57.79742410496753
Expert,Excellent,High,86.42861482735567
Intermediate,Moderate,High,56.26133705224484
Advanced,Excellent,High,67.92221193061754
Intermediate,Moderate,Low,27.69920461019308
Intermediate,Moderate,Moderate,39.702572215970896
Beginner,Limited,Moderate,28.61561099134496
Advanced,Good,Very High,78.82713770206541
Beginner,Moderate,Moderate,22.94969249269585
Intermediate,Limited,Moderate,8.133536052374911
Advanced,Good,Moderate,54.70893294939536
Advanced,Moderate,Moderate,53.17322882957734
Beginner,Moderate,Low,13.759304450545066
Intermediate,Moderate,Moderate,37.95273163402581
Expert,Good,High,74.9873450788665
Advanced,Moderate,Moderate,33.26510912644463
Intermediate,Limited,Low,21.768638039842546
Beginner,Moderate,Moderate,7.013220058218529
Intermediate,Moderate,High,36.200428398997744
Intermediate,Good,Moderate,50.64046724586149
Advanced,Excellent,High,72.1804232427549
Intermediate,Moderate,High,41.44672357115259
Advanced,Moderate,Moderate,59.04533505982064
Intermediate,Moderate,Moderate,32.20747189165479
Intermediate,Good,Moderate,57.70082533822647
Beginner,Moderate,Low,22.788735963210613
Beginner,Moderate,Moderate,32.49470872904991
Intermediate,Moderate,High,65.87798320600803
Beginner,Limited,Low,7.109372021653408
Advanced,Moderate,High,36.89104137640277
Beginner,Limited,Moderate,15.43592607285389
Intermediate,Moderate,Low,24.012549760715746
Advanced,Excellent,Very High,85.69154972982123
Intermediate,Moderate,Moderate,60.19894273834659
Expert,Excellent,Very High,79.33369314748887
Intermediate,Limited,Low,32.54408395398035
Expert,Good,Very High,71.44939326542783
Beginner,Moderate,Low,3.776439117426709
Intermediate,Limited,Low,0.034395130405436625
Advanced,Excellent,High,89.85539279123961
Advanced,Excellent,High,95.26942929776945
Advanced,Moderate,High,50.351235935724176
Advanced,Excellent,Very High,76.35632068920596
Expert,Good,Very High,87.39438152213795
Advanced,Excellent,Very High,76.41809015534602
Advanced,Moderate,High,60.91406084438647
Intermediate,Good,Moderate,37.971138946014875
Advanced,Good,Very High,99.37694568238477
Intermediate,Moderate,Moderate,62.098547738733956
Intermediate,Moderate,Low,31.094091306411645
Advanced,Good,High,40.24188628699273
Intermediate,Moderate,Moderate,24.582464775386995
Intermediate,Moderate,Low,3.037102935806663
Advanced,Excellent,High,95.35665968128706
Advanced,Good,Very High,89.85186304379391
Expert,Excellent,Very High,73.17352316005086
Beginner,Limited,Low,7.79267880078539
Advanced,Good,High,79.26722628663907
Intermediate,Moderate,High,47.59365728166103
Expert,Excellent,Very High,88.76819657304029
Advanced,Good,Moderate,54.33355774924958
Intermediate,Good,Moderate,59.4769860098909
Intermediate,Moderate,Moderate,33.54134022792915
Advanced,Moderate,Moderate,55.85246417096731
Beginner,Limited,Low,9.120040878308597
Intermediate,Moderate,Low,6.483918079700066
Intermediate,Limited,Moderate,10.775045475785928
Beginner,Moderate,Moderate,26.931553047392693
Intermediate,Good,High,58.68433425041473
Beginner,Limited,Moderate,8.54075276604709
Expert,Good,Very High,96.03212644126837
Intermediate,Moderate,Moderate,43.721535265127585
Intermediate,Limited,Low,3.4668090222762102
Intermediate,Moderate,Low,23.705335000312765
Advanced,Excellent,High,79.38179285419956
Advanced,Excellent,High,69.91910618577349
Beginner,Moderate,Moderate,11.8177218967351
Intermediate,Moderate,High,50.34852472788344
Intermediate,Moderate,Moderate,19.768526694739073
Intermediate,Moderate,Moderate,38.44866311532175
Advanced,Good,High,71.67905548920379
Advanced,Good,High,91.00726847390635
Intermediate,Good,High,35.8569010523114
Intermediate,Good,Moderate,46.09640538038783
Expert,Excellent,Very High,86.25391691740171
Intermediate,Moderate,Moderate,59.414717342162724
Expert,Good,Very High,92.69471069274928
Intermediate,Good,Moderate,60.005317715892716
Beginner,Moderate,Low,8.837962980412616
Intermediate,Moderate,Low,1.7465342227294074
Intermediate,Moderate,Moderate,11.76797677806539
Expert,Excellent,High,72.15961766990418
Intermediate,Good,High,44.59039322483642
Intermediate,Good,Moderate,48.98726662593878
Expert,Good,High,75.783077377929
Beginner,Limited,Moderate,17.98858847721481
Beginner,Moderate,Low,2.101672516308921
Advanced,Excellent,High,90.71832111817344
Advanced,Moderate,Moderate,50.54447282253249
Expert,Excellent,High,78.56323415980708
Intermediate,Moderate,Low,29.6773731793037
Intermediate,Moderate,Low,12.79193582674096
Advanced,Good,High,47.36794293304526
Advanced,Good,High,60.35711823579399
Expert,Good,Very High,76.61340933701298
Advanced,Good,High,97.26636070925495
Advanced,Excellent,High,86.11187709385553
Advanced,Moderate,High,55.87922724932123
Expert,Good,Very High,66.9634026809674
Advanced,Good,Moderate,34.02225847130978
Advanced,Good,Moderate,58.274327796628434
Advanced,Moderate,High,39.05141104027025
Expert,Excellent,High,78.58470562353868
Expert,Excellent,Very High,99.17544978249425
Beginner,Limited,Low,28.96662340828042
Beginner,Moderate,Low,1.2086494622020387
Beginner,Limited,Moderate,10.297126541676157
Beginner,Limited,Moderate,12.975176480928997
Advanced,Moderate,High,42.250609648805124
Intermediate,Moderate,Moderate,36.227318014305695
Expert,Good,Very High,87.67758474986495
Intermediate,Good,High,41.94631439508408
Beginner,Limited,Low,9.32825318715511
Beginner,Limited,Low,23.023010305082323
Intermediate,Good,Moderate,38.81095613501944
Advanced,Excellent,Very High,73.0562121452337
Intermediate,Moderate,High,59.48834677546804
Beginner,Limited,Moderate,29.677358771979684
Beginner,Moderate,Low,28.31376342920446
Intermediate,Limited,Moderate,20.844846828250496
Expert,Good,High,91.14313836995755
Intermediate,Moderate,Low,2.6250440205466052
Expert,Good,High,93.75443712997864
Intermediate,Moderate,Moderate,45.6117357565444
Intermediate,Moderate,High,61.38526205193282
Intermediate,Moderate,Low,2.7703690144053206
Intermediate,Limited,Low,14.769538483694468
Intermediate,Limited,Moderate,13.67527474884934
Advanced,Excellent,Very High,90.70802857094893
Intermediate,Moderate,High,34.60803097213937
Advanced,Excellent,High,74.11042689519002
Intermediate,Limited,Low,4.882182609593459
Intermediate,Moderate,Moderate,17.039972281925714
Advanced,Good,Very High,74.93557213225839
Advanced,Good,Very High,95.57521234359737
Advanced,Excellent,High,80.70972739428065
Advanced,Excellent,High,89.99084559998992
Intermediate,Good,Moderate,52.57406429606972
Advanced,Good,Moderate,38.328896971091275
Intermediate,Limited,Moderate,28.85155186636905
Advanced,Good,High,95.73893857249081
Advanced,Excellent,Very High,69.96252060141552
Expert,Good,High,69.72338582941657
Intermediate,Moderate,Moderate,19.918760637868736
Beginner,Limited,Low,7.40474774117265
Beginner,Moderate,Low,17.869640766663828
Advanced,Good,High,44.07059239184644
Intermediate,Moderate,Moderate,30.231850689060447
Advanced,Good,High,80.48090782146645
Expert,Good,High,81.30482354157395
Intermediate,Limited,Low,14.36080795500696
Expert,Excellent,High,83.349583542402
Advanced,Excellent,High,74.23738305579546
Advanced,Good,High,62.91617369312539
Expert,Excellent,High,83.2178045205813
Advanced,Good,Very High,97.06958778264885
Advanced,Good,Very High,91.36253594751682
Intermediate,Good,Moderate,38.073713573147245
Intermediate,Moderate,Moderate,25.091531154427965
Advanced,Good,High,67.85413591189914
Advanced,Good,Very High,75.24807687922475
Intermediate,Limited,Moderate,29.491715035097908
Intermediate,Moderate,Low,6.145368777238022
Advanced,Good,High,97.39612021621197
Advanced,Good,High,78.11377499968575
Advanced,Good,High,35.630704966734456
Expert,Good,Very High,95.93348994369428
Beginner,Moderate,Low,25.480776077510804
Advanced,Moderate,Moderate,59.04258056569489
Expert,Excellent,Very High,99.6898753984253
Intermediate,Moderate,High,52.90766923642667
Expert,Good,High,76.17472278716895
Advanced,Good,High,65.44026893443225
Expert,Good,Very High,88.31930499646782
Advanced,Excellent,High,88.78804840768353
Advanced,Good,Moderate,46.308639450095
Advanced,Good,High,99.35778838224829
Expert,Good,High,91.37310144116441
Advanced,Excellent,High,97.37771073097485
Advanced,Good,High,34.47094643448898
Advanced,Good,Moderate,58.411794814017824
Advanced,Excellent,Very High,92.75162762526531
Advanced,Excellent,Very High,96.4485631098077
Advanced,Good,High,55.21257712563695
